Medida;Tipo de dato;Periodo;Total
Viajeros-km (1000);Variación anual;2019T1;3
Viajeros-km (1000);Variación anual;2018T4;4,6
Viajeros-km (1000);Variación anual;2018T3;3,3
Viajeros-km (1000);Variación anual;2018T2;3,4
Viajeros-km (1000);Variación anual;2018T1;2,4
Viajeros-km (1000);Variación anual;2017T4;2,7
Viajeros-km (1000);Variación anual;2017T3;2
Viajeros-km (1000);Variación anual;2017T2;4,5
Viajeros-km (1000);Variación anual;2017T1;3,4
Viajeros-km (1000);Variación anual;2016T4;-6,4
Viajeros-km (1000);Variación anual;2016T3;6,5
Viajeros-km (1000);Variación anual;2016T2;4
Viajeros-km (1000);Variación anual;2016T1;5
Viajeros-km (1000);Variación anual;2015T4;12,9
Viajeros-km (1000);Variación anual;2015T3;-1,8
Viajeros-km (1000);Variación anual;2015T2;2,7
Viajeros-km (1000);Variación anual;2015T1;4,2
Viajeros-km (1000);Variación anual;2014T4;6
Viajeros-km (1000);Variación anual;2014T3;8,4
Viajeros-km (1000);Variación anual;2014T2;3,5
Viajeros-km (1000);Variación anual;2014T1;3,2
Viajeros-km (1000);Variación anual;2013T4;8,7
Viajeros-km (1000);Variación anual;2013T3;9,4
Viajeros-km (1000);Variación anual;2013T2;7,5
Viajeros-km (1000);Variación anual;2013T1;1,1
Viajeros-km (1000);Variación anual;2012T4;-2,5
Viajeros-km (1000);Variación anual;2012T3;-2,3
Viajeros-km (1000);Variación anual;2012T2;-2,7
Viajeros-km (1000);Variación anual;2012T1;2,3
Viajeros-km (1000);Variación anual;2011T4;1,4
Viajeros-km (1000);Variación anual;2011T3;2,8
Viajeros-km (1000);Variación anual;2011T2;4,2
Viajeros-km (1000);Variación anual;2011T1;-1,4
Viajeros-km (1000);Variación anual;2010T4;""
Viajeros-km (1000);Variación anual;2010T3;""
Viajeros-km (1000);Variación anual;2010T2;""
Viajeros-km (1000);Variación anual;2010T1;""
Viajeros-km (1000);Variación de la media en lo que va de año;2024T2;13,5
Viajeros-km (1000);Variación de la media en lo que va de año;2024T1;15
Viajeros-km (1000);Variación de la media en lo que va de año;2023T4;31,7
Viajeros-km (1000);Variación de la media en lo que va de año;2023T3;38,3
Viajeros-km (1000);Variación de la media en lo que va de año;2023T2;39,1
Viajeros-km (1000);Variación de la media en lo que va de año;2023T1;47,4
Viajeros-km (1000);Variación de la media en lo que va de año;2022T4;40,9
Viajeros-km (1000);Variación de la media en lo que va de año;2022T3;62,4
Viajeros-km (1000);Variación de la media en lo que va de año;2022T2;84,9
Viajeros-km (1000);Variación de la media en lo que va de año;2022T1;100,4
Viajeros-km (1000);Variación de la media en lo que va de año;2021T4;40,2
Viajeros-km (1000);Variación de la media en lo que va de año;2021T3;20,4
Viajeros-km (1000);Variación de la media en lo que va de año;2021T2;-2,1
Viajeros-km (1000);Variación de la media en lo que va de año;2021T1;-53,7
Viajeros-km (1000);Variación de la media en lo que va de año;2020T4;-58,1
Viajeros-km (1000);Variación de la media en lo que va de año;2020T3;-55,9
Viajeros-km (1000);Variación de la media en lo que va de año;2020T2;-54,3
Viajeros-km (1000);Variación de la media en lo que va de año;2020T1;-18,4
Viajeros-km (1000);Variación de la media en lo que va de año;2019T4;1
Viajeros-km (1000);Variación de la media en lo que va de año;2019T3;1,2
Viajeros-km (1000);Variación de la media en lo que va de año;2019T2;1,2
Viajeros-km (1000);Variación de la media en lo que va de año;2019T1;3
Viajeros-km (1000);Variación de la media en lo que va de año;2018T4;3,5
Viajeros-km (1000);Variación de la media en lo que va de año;2018T3;3,1
Viajeros-km (1000);Variación de la media en lo que va de año;2018T2;3
Viajeros-km (1000);Variación de la media en lo que va de año;2018T1;2,4
Viajeros-km (1000);Variación de la media en lo que va de año;2017T4;3,2
Viajeros-km (1000);Variación de la media en lo que va de año;2017T3;3,3
Viajeros-km (1000);Variación de la media en lo que va de año;2017T2;4
Viajeros-km (1000);Variación de la media en lo que va de año;2017T1;3,4
Viajeros-km (1000);Variación de la media en lo que va de año;2016T4;2
Viajeros-km (1000);Variación de la media en lo que va de año;2016T3;5,1
Viajeros-km (1000);Variación de la media en lo que va de año;2016T2;4,4
Viajeros-km (1000);Variación de la media en lo que va de año;2016T1;5
Viajeros-km (1000);Variación de la media en lo que va de año;2015T4;4,4
Viajeros-km (1000);Variación de la media en lo que va de año;2015T3;1,6
Viajeros-km (1000);Variación de la media en lo que va de año;2015T2;3,4
Viajeros-km (1000);Variación de la media en lo que va de año;2015T1;4,2
Viajeros-km (1000);Variación de la media en lo que va de año;2014T4;5,3
Viajeros-km (1000);Variación de la media en lo que va de año;2014T3;5,1
Viajeros-km (1000);Variación de la media en lo que va de año;2014T2;3,4
Viajeros-km (1000);Variación de la media en lo que va de año;2014T1;3,2
Viajeros-km (1000);Variación de la media en lo que va de año;2013T4;6,7
Viajeros-km (1000);Variación de la media en lo que va de año;2013T3;6,1
Viajeros-km (1000);Variación de la media en lo que va de año;2013T2;4,4
Viajeros-km (1000);Variación de la media en lo que va de año;2013T1;1,1
Viajeros-km (1000);Variación de la media en lo que va de año;2012T4;-1,4
Viajeros-km (1000);Variación de la media en lo que va de año;2012T3;-1
Viajeros-km (1000);Variación de la media en lo que va de año;2012T2;-0,3
Viajeros-km (1000);Variación de la media en lo que va de año;2012T1;2,3
Viajeros-km (1000);Variación de la media en lo que va de año;2011T4;1,8
Viajeros-km (1000);Variación de la media en lo que va de año;2011T3;1,9
Viajeros-km (1000);Variación de la media en lo que va de año;2011T2;1,5
Viajeros-km (1000);Variación de la media en lo que va de año;2011T1;-1,4
Viajeros-km (1000);Variación de la media en lo que va de año;2010T4;""
Viajeros-km (1000);Variación de la media en lo que va de año;2010T3;""
Viajeros-km (1000);Variación de la media en lo que va de año;2010T2;""
Viajeros-km (1000);Variación de la media en lo que va de año;2010T1;""
