Total Nacional;Comunidades y Ciudades Autónomas;Viajeros y tasas;Periodo;Total
Total Nacional;;Variación de la media en lo que va de año;2023M07;23,4
Total Nacional;;Variación de la media en lo que va de año;2023M06;22,7
Total Nacional;;Variación de la media en lo que va de año;2023M05;22,6
Total Nacional;;Variación de la media en lo que va de año;2023M04;23,2
Total Nacional;;Variación de la media en lo que va de año;2023M03;24,5
Total Nacional;;Variación de la media en lo que va de año;2023M02;26,4
Total Nacional;;Variación de la media en lo que va de año;2023M01;31,3
Total Nacional;;Variación de la media en lo que va de año;2022M12;23,6
Total Nacional;;Variación de la media en lo que va de año;2022M11;24,3
Total Nacional;;Variación de la media en lo que va de año;2022M10;25,5
Total Nacional;;Variación de la media en lo que va de año;2022M09;26,5
Total Nacional;;Variación de la media en lo que va de año;2022M08;27,7
Total Nacional;;Variación de la media en lo que va de año;2022M07;28,5
Total Nacional;;Variación de la media en lo que va de año;2022M06;31
Total Nacional;;Variación de la media en lo que va de año;2022M05;33,8
Total Nacional;;Variación de la media en lo que va de año;2022M04;35,1
Total Nacional;;Variación de la media en lo que va de año;2022M03;38,3
Total Nacional;;Variación de la media en lo que va de año;2022M02;40,6
Total Nacional;;Variación de la media en lo que va de año;2022M01;43,7
Total Nacional;;Variación de la media en lo que va de año;2021M12;22,4
Total Nacional;;Variación de la media en lo que va de año;2021M11;22,1
Total Nacional;;Variación de la media en lo que va de año;2021M10;20,1
Total Nacional;;Variación de la media en lo que va de año;2021M09;19
Total Nacional;;Variación de la media en lo que va de año;2021M08;17,4
Total Nacional;;Variación de la media en lo que va de año;2021M07;17,1
Total Nacional;;Variación de la media en lo que va de año;2021M06;16,2
Total Nacional;;Variación de la media en lo que va de año;2021M05;8
Total Nacional;;Variación de la media en lo que va de año;2021M04;-11,1
Total Nacional;;Variación de la media en lo que va de año;2021M03;-33,2
Total Nacional;;Variación de la media en lo que va de año;2021M02;-49,8
Total Nacional;;Variación de la media en lo que va de año;2021M01;-52,7
Total Nacional;;Variación de la media en lo que va de año;2020M12;-44,7
Total Nacional;;Variación de la media en lo que va de año;2020M11;-45,3
Total Nacional;;Variación de la media en lo que va de año;2020M10;-45,5
Total Nacional;;Variación de la media en lo que va de año;2020M09;-45,7
Total Nacional;;Variación de la media en lo que va de año;2020M08;-46,2
Total Nacional;;Variación de la media en lo que va de año;2020M07;-46,8
Total Nacional;;Variación de la media en lo que va de año;2020M06;-47,3
Total Nacional;;Variación de la media en lo que va de año;2020M05;-45,1
Total Nacional;;Variación de la media en lo que va de año;2020M04;-34,7
Total Nacional;;Variación de la media en lo que va de año;2020M03;-16,4
